instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,stick_length_without,stick_length_with,condition,material_grade,maker_name,authentication_score,weight,stick_shape
75565,647,Violin Bow,,2016,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,59.5,round
78031,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.2 cm / 74.7 cm | Weight: 59.0 grams",,,,73.2,74.7,0,1.0,"Sartory, Eugène Nicolas",3,59.0,round
78157,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 59.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,59.0,round
78442,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,octagonal
79072,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 61.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,61.5,round
82286,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 62.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.5,round
79073,647,Violin Bow,,2017,Tarisio,Stamped illegibly. | Silver mounted. Round stick. | Weight: 58.0 grams,,,,,,0,1.0,"Sartory, Eugène Nicolas",2,58.0,round
81366,647,Violin Bow,,1984; 2017,Ruth Kemper; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.5,round
83378,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Gold mounted. Octagonal stick. | Weight: 63.5 grams",,,,,,0,2.0,"Sartory, Eugène Nicolas",3,63.5,octagonal
82250,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round sick. The silver mounted frog and button probably original to the stick. | Weight: 62.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.5,
83415,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 63.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
82352,647,Violin Bow,,2017,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 62.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",2,62.5,round
83047,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,octagonal
83463,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 cm / 74.5 cm | Weight: 62.0 grams",,,,73.0,74.5,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
84235,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,round
83697,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 61.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,61.0,round
83177,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 cm / 74.5 cm | Weight: 62.0 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
84111,647,Violin Bow,,1988; 2018,William Moennig & Son; Tarisio,"Stamped, ""E. Sartory á Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
85348,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. | Stick: 72.8 cm / 74.3 cm | Weight: 60.5 grams",,,,72.8,74.3,1,1.0,"Sartory, Eugène Nicolas",3,60.5,round
85116,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold and tortoiseshell mounted. | Weight: 61.0 grams",,,,,,0,3.0,"Sartory, Eugène Nicolas",3,61.0,round
85427,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.5,round
