maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
227,"Grünke, Klaus",Cello Bow,,Tarisio,2022-10-25,7,6403.0,5575.0,6424.0,eur,104406,70.1,71.8,0,2.0,82.0,octagonal,70.1,71.8,0,2.0,82.0,octagonal,
227,"Grünke, Klaus",Violin Bow,,Tarisio,2022-10-25,62,2153.0,1874.0,2160.0,eur,103345,73.0,74.4,0,1.0,60.0,round,73.0,74.4,0,1.0,60.0,round,
227,"Grünke, Klaus",Violin Bow,,Tarisio,2021-10-26,50,3832.0,2777.0,3300.0,eur,98143,72.9,74.3,0,1.0,62.0,round,72.9,74.3,0,1.0,62.0,round,
227,"Grünke, Klaus",Cello Bow,,Tarisio,2019-06-24,9,2442.0,1920.0,2144.0,gbp,87362,69.9,71.6,0,1.0,80.5,round,69.9,71.6,0,1.0,80.5,round,
227,"Grünke, Klaus",Violin Bow,,Tarisio,2016-10-14,104,2640.0,2161.0,2399.0,usd,76358,,,0,1.0,60.0,round,,,0,1.0,60.0,round,
227,"Grünke, Klaus",Violin Bow,,Tarisio,2015-06-30,40,2784.0,1770.0,2488.0,gbp,73353,,,0,1.0,59.0,round,,,0,1.0,59.0,round,
227,"Grünke, Klaus",Violin Bow,Bubenreuth,Tarisio,2012-06-25,57,3360.0,2160.0,2690.0,gbp,32893,,,0,2.0,62.5,,,,0,2.0,62.5,,
227,"Grünke, Klaus",Viola Bow,,Tarisio,2007-07-25,174,1380.0,673.0,1004.0,usd,12864,,,0,1.0,70.0,,,,0,1.0,70.0,,
227,"Grünke, Klaus",Violin Bow,,Tarisio,2001-11-09,OB 7,1192.0,818.0,1335.0,usd,2626,,,0,1.0,63.0,,,,0,1.0,63.0,,
1571,"Grünke, Richard",Violin Bow,,,2023-10-24,,2929.0,2403.0,2760.0,eur,117095,72.9,74.4,0,1.0,61.0,round,72.9,74.4,0,1.0,61.0,round,
1571,"Grünke, Richard",Viola Bow,,Tarisio,2022-11-18,25,2640.0,2221.0,2555.0,usd,103596,,,0,2.0,73.5,octagonal,,,0,2.0,73.5,octagonal,
1571,"Grünke, Richard",Cello Bow,,Tarisio,2022-10-25,6,4486.0,3905.0,4500.0,eur,104241,69.6,71.2,0,2.0,82.0,octagonal,69.6,71.2,0,2.0,82.0,octagonal,
1571,"Grünke, Richard",Violin Bow,,Tarisio,2022-10-25,55,2033.0,1770.0,2040.0,eur,103343,72.8,74.3,0,2.0,65.0,octagonal,72.8,74.3,0,2.0,65.0,octagonal,
1571,"Grünke, Richard",Violin Bow,,Tarisio,2021-10-26,34,2926.0,2121.0,2520.0,eur,98141,72.7,74.2,0,1.0,61.0,round,72.7,74.2,0,1.0,61.0,round,
1571,"Grünke, Richard",Violin Bow,,Tarisio,2020-03-24,81,1264.0,1080.0,1172.0,gbp,90909,72.7,74.2,0,1.0,62.0,round,72.7,74.2,0,1.0,62.0,round,
1571,"Grünke, Richard",Cello Bow,,Tarisio,2019-03-01,2,1920.0,1447.0,1684.0,usd,86003,69.8,71.5,0,1.0,82.0,octagonal,69.8,71.5,0,1.0,82.0,octagonal,
1571,"Grünke, Richard",Viola Bow,,Tarisio,2018-11-08,49,3900.0,2977.0,3410.0,usd,85149,,,0,2.0,72.5,octagonal,,,0,2.0,72.5,octagonal,
1571,"Grünke, Richard",Cello Bow,,Tarisio,2015-10-24,32,2400.0,1558.0,2165.0,usd,74125,,,0,1.0,82.5,octagonal,,,0,1.0,82.5,octagonal,
1571,"Grünke, Richard",Violin Bow,,Tarisio,2015-03-31,65,1686.0,1140.0,1567.0,gbp,68838,72.8,74.2,0,1.0,60.5,round,72.8,74.2,0,1.0,60.5,round,
1571,"Grünke, Richard",Violin Bow,,Tarisio,2012-11-28,146,1320.0,826.0,1024.0,usd,33474,,,0,1.0,60.0,,,,0,1.0,60.0,,
1571,"Grünke, Richard",Cello Bow,,Tarisio,2011-11-11,10,3900.0,2448.0,2857.0,usd,31072,,,0,2.0,82.0,,,,0,2.0,82.0,,
1571,"Grünke, Richard",Violin Bow,,Tarisio,2008-10-22,75,1420.0,878.0,1106.0,gbp,15777,,,0,1.0,69.5,,,,0,1.0,69.5,,
1571,"Grünke, Richard",Cello Bow,,Tarisio,2008-10-23,268,3510.0,2169.0,2740.0,usd,16420,,,0,2.0,78.5,,,,0,2.0,78.5,,
