instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,condition,length_of_back,upper_bouts,middle_bouts,lower_bouts,maker_name,authentication_score
73467,548,Violin,1920.0,2015,Tarisio,"Labeled, ""Ferdinandus Gagliano Filius, Nicolai fecit Neap 1772."" | Length of back: 35.4 cm | Upper bouts: 16.5 cm | Middle bouts: 11.3 cm | Lower bouts: 20.0 cm",,,,,35.4,16.5,11.3,20.0,"Pistucci, Giovanni",2
20518,548,Violin,1922.0,2010 ; 2014,Tarisio ; Tarisio,"Labeled, ""Giovanni Pistucci, Napoli, 1922."" | Length of back: 35.4 cm","April 29-30, 2010",Tarisio,,,35.4,,,,"Pistucci, Giovanni",3
23911,548,Viola,1901.0,2011,Tarisio,"Labeled, ""Giovanni Pistucci, feci Napoli, 1901."" | Length of back: 37.5 cm",,,,,37.5,,,,"Pistucci, Giovanni",3
54401,548,Viola,1890.0,2010,Brompton's,"Labeled, ""Joannes Gagliano Nepos Januari fecit Napoli 1852."" | Length of back: 41.7 cm","March 8, 2010",Brompton's,,,41.7,,,,"Pistucci, Giovanni",2
8962,548,Violin,1903.0,2005; 2010,Tarisio; Sotheby's,"Labeled, ""Giovanni Pistucci Napoli 1903."" | Length of back: 35.6 cm | Upper bouts: 16.4 cm | Middle bouts: 11.3 cm | Lower bouts: 20 cm","March 9, 2010; November 7, 2006",Sotheby's; Sotheby's,,,35.6,16.4,11.3,20.0,"Pistucci, Giovanni",3
52913,548,Violin,1890.0,2009,Brompton's,"Labeled, ""Raffaele Gagliano fecit Neapoli 1849."" | Length of back: 35.5 cm","June 22, 2009",Brompton's,,,35.5,,,,"Pistucci, Giovanni",2
52891,548,Violin,1900.0,1958,Rembert Wurlitzer Inc.,"Labeled, ""Vincenzo Desiato fece in Napoli 1865."" | Length of back: 35.4 cm","March 10, 2009",Sotheby's,,,35.4,,,,"Pistucci, Giovanni",2
52912,548,Viola,1900.0,2008,Sotheby's,Unlabeled. | Length of back: 42.5 cm,"March 11, 2008",Sotheby's,,,42.5,,,,"Pistucci, Giovanni",0
14512,548,Viola,1905.0,2008,Tarisio,"Labeled, ""Gaetano Guadagnini..."" | Length of back: 40.7 cm (16 inches)","March 1-13, 2008",Tarisio,,,40.7,,,,"Pistucci, Giovanni",2
12775,548,Violin,1910.0,2007,Tarisio,"Labeled, ""Ferdinand Gagliano..."" | Length of back: 35.1 cm",,,,,35.1,,,,"Pistucci, Giovanni",2
52908,548,Violin,1900.0,,,"Labeled, ""Joseph Gagliano filius Nicolai fecit Neap 17**."" | Length of back: 35.2 cm","July 11, 2006",Sotheby's,,,35.2,,,,"Pistucci, Giovanni",2
52907,548,Violin,1900.0,2005,Sotheby's,"Labeled, ""Lorenzo Ventapane fabbricante di strumenti armonici abita strada Donnaregina num. 2. Napoli 1863."" | Length of back: 35.3 cm","February 22, 2005",Sotheby's,,,35.3,,,,"Pistucci, Giovanni",2
52893,548,Violin,1910.0,,,"Labeled, ""Joanes Gagliano / Nepos Januait fecit / Neapoli 1801."" | Length of back: 35.6 cm","October 16, 2002",Christie's,,,35.6,,,,"Pistucci, Giovanni",2
52898,548,Violin,1900.0,,,"Labeled, ""Raffaele ed Antonio Gagliano. . . 1850."" | Length of back: 35.2 cm","May 5, 2002",Skinner,,,35.2,,,,"Pistucci, Giovanni",2
52903,548,Violin,1920.0,,,"Labeled, ""Giovanni Pistucci Napoli 1920."" | Length of back: 35.7 cm","March 30, 1989",Sotheby's,,,35.7,,,,"Pistucci, Giovanni",3
52899,548,Violin,1899.0,1977,Sotheby's,"Labeled, ""Giovanni Pistucci Napoli, 1899."" | Length of back: 36.1 cm","November 17, 1977",Sotheby's,,,36.1,,,,"Pistucci, Giovanni",3
