iter	Passed	Remaining
720	29503	52337
721	29537	52283
722	29569	52227
723	29603	52174
724	29636	52119
725	29669	52064
726	29705	52014
727	29736	51957
728	29766	51897
729	29801	51846
730	29833	51789
731	29866	51735
732	29900	51682
733	29930	51623
734	29962	51568
735	29995	51513
736	30026	51457
737	30058	51400
738	30093	51350
739	30124	51292
740	30154	51234
741	30187	51180
742	30194	51081
743	30226	51026
744	30257	50970
745	30292	50921
746	30324	50864
747	30355	50809
748	30390	50758
749	30420	50701
750	30452	50645
751	30485	50592
752	30516	50536
753	30549	50483
754	30588	50440
755	30621	50387
756	30660	50344
757	30696	50297
758	30733	50250
759	30762	50191
760	30801	50149
761	30840	50105
762	30879	50062
763	30915	50014
764	30947	49960
765	30986	49918
766	31021	49869
767	31055	49817
768	31094	49775
769	31132	49731
770	31172	49690
771	31225	49668
772	31259	49618
773	31293	49567
774	31323	49510
775	31349	49448
776	31378	49390
777	31406	49329
778	31433	49268
779	31460	49207
780	31491	49152
781	31518	49091
782	31546	49032
783	31573	48971
784	31600	48909
785	31629	48852
786	31656	48791
787	31686	48735
788	31716	48679
789	31745	48623
790	31775	48567
791	31804	48510
792	31836	48457
793	31862	48396
794	31890	48336
795	31917	48276
796	31943	48215
797	31970	48155
798	31997	48096
799	32026	48039
800	32055	47982
801	32085	47928
802	32115	47872
803	32143	47815
804	32175	47763
805	32203	47705
806	32229	47646
807	32256	47586
808	32289	47536
809	32317	47479
810	32346	47422
811	32377	47369
812	32405	47312
813	32434	47256
814	32463	47200
815	32490	47143
816	32517	47085
817	32546	47029
818	32574	46972
819	32600	46913
820	32627	46854
821	32653	46795
822	32683	46741
823	32710	46684
824	32739	46629
825	32769	46575
826	32796	46518
827	32825	46462
828	32860	46417
829	32892	46367
830	32927	46321
831	32978	46296
832	33016	46255
833	33051	46208
834	33088	46165
835	33125	46121
836	33160	46075
837	33196	46031
838	33236	45992
839	33273	45948
840	33301	45893
841	33328	45837
842	33355	45779
843	33384	45725
844	33412	45670
845	33439	45614
846	33467	45558
847	33495	45502
848	33522	45447
849	33549	45390
850	33577	45335
851	33605	45280
852	33632	45224
853	33659	45168
854	33689	45115
855	33716	45060
856	33743	45004
857	33784	44967
858	33817	44919
859	33855	44878
860	33888	44830
861	33916	44775
862	33943	44720
863	33977	44673
864	34018	44636
865	34066	44609
866	34115	44582
867	34167	44559
868	34207	44520
869	34250	44486
870	34285	44441
871	34315	44389
872	34333	44322
873	34364	44272
874	34397	44225
875	34430	44178
876	34469	44137
877	34509	44099
878	34545	44056
879	34576	44006
880	34604	43953
881	34632	43899
882	34662	43848
883	34690	43794
884	34718	43741
885	34744	43685
886	34785	43649
887	34831	43618
888	34866	43573
889	34897	43523
890	34927	43472
891	34959	43424
892	34989	43373
893	35018	43322
894	35045	43267
895	35075	43218
896	35105	43167
897	35135	43117
898	35166	43067
899	35192	43012
900	35224	42964
901	35251	42911
902	35278	42857
903	35305	42804
904	35335	42754
905	35377	42719
906	35418	42681
907	35451	42636
908	35480	42584
909	35509	42532
910	35535	42478
911	35565	42428
912	35594	42377
913	35628	42332
914	35663	42289
915	35710	42260
916	35751	42223
917	35787	42180
918	35822	42137
919	35859	42095
920	35895	42053
921	35930	42010
922	35966	41967
923	36002	41925
924	36039	41884
925	36079	41846
926	36122	41812
927	36162	41774
928	36190	41721
929	36222	41675
930	36252	41626
931	36280	41574
932	36315	41531
933	36350	41487
934	36374	41432
935	36410	41389
936	36438	41338
937	36467	41288
938	36494	41236
939	36523	41186
940	36551	41135
941	36581	41086
942	36617	41043
943	36655	41004
944	36701	40973
945	36746	40942
946	36775	40891
947	36803	40841
948	36831	40790
949	36859	40739
950	36888	40689
951	36922	40645
952	36965	40612
953	37000	40569
954	37029	40519
955	37058	40469
956	37086	40419
957	37114	40368
958	37140	40316
959	37168	40265
960	37196	40215
961	37223	40164
962	37253	40115
963	37281	40065
964	37310	40016
965	37337	39965
966	37365	39915
967	37393	39865
968	37419	39813
969	37449	39766
970	37483	39722
971	37528	39691
972	37581	39667
973	37633	39642
974	37670	39602
975	37712	39567
976	37757	39535
977	37771	39470
978	37801	39423
979	37845	39390
980	37901	39369
981	37947	39338
982	38002	39316
983	38047	39284
984	38088	39248
985	38117	39199
986	38147	39151
987	38179	39106
988	38218	39068
989	38259	39032
990	38288	38984
991	38315	38933
992	38346	38887
993	38374	38838
994	38401	38787
995	38428	38736
996	38458	38690
997	38484	38638
998	38510	38587
999	38537	38537
1000	38565	38488
1001	38593	38439
1002	38620	38389
1003	38653	38345
1004	38686	38301
1005	38720	38258
1006	38762	38223
1007	38791	38175
1008	38819	38126
1009	38848	38078
1010	38875	38029
1011	38912	37989
1012	38961	37961
1013	38989	37912
1014	39018	37865
1015	39058	37828
1016	39099	37792
1017	39128	37744
1018	39158	37697
1019	39185	37648
1020	39214	37601
1021	39250	37560
1022	39297	37530
1023	39343	37498
1024	39382	37461
1025	39422	37424
1026	39459	37385
1027	39500	37348
1028	39526	37298
1029	39556	37251
1030	39583	37203
1031	39610	37154
1032	39637	37105
1033	39665	37056
1034	39692	37007
1035	39719	36959
1036	39748	36912
1037	39776	36863
1038	39806	36818
1039	39835	36771
1040	39862	36722
1041	39890	36674
1042	39917	36626
1043	39947	36579
1044	39974	36532
1045	40004	36485
1046	40032	36438
1047	40068	36398
1048	40102	36356
1049	40140	36317
1050	40175	36276
1051	40203	36229
1052	40230	36180
1053	40258	36133
1054	40287	36086
1055	40313	36038
1056	40343	35992
1057	40371	35945
1058	40399	35898
1059	40427	35850
1060	40455	35803
1061	40482	35755
1062	40508	35706
1063	40542	35665
1064	40576	35623
1065	40617	35587
1066	40649	35544
1067	40677	35497
1068	40705	35450
1069	40735	35405
1070	40763	35358
1071	40790	35311
1072	40817	35263
1073	40847	35218
1074	40872	35169
1075	40900	35122
1076	40928	35076
1077	40955	35028
1078	40981	34980
1079	41008	34932
1080	41036	34886
1081	41064	34840
1082	41095	34796
1083	41124	34750
1084	41153	34705
1085	41183	34660
1086	41213	34616
1087	41246	34573
1088	41273	34527
1089	41299	34479
1090	41326	34432
1091	41354	34386
1092	41381	34339
1093	41409	34293
1094	41438	34248
1095	41465	34201
1096	41496	34158
1097	41529	34116
1098	41563	34075
