date,real_price_gold
1969-09-12,362.073
1969-09-15,361.6346
1969-09-16,359.4429
1969-09-17,359.2237
1969-09-18,360.3196
1969-09-19,360.7579
1969-09-22,360.3196
1969-09-23,358.0402
1969-09-24,359.8813
1969-09-25,357.2512
1969-09-26,359.4429
1969-09-29,358.5662
1969-09-30,356.5937
1969-10-01,357.5156
1969-10-02,358.8236
1969-10-03,359.2596
1969-10-06,357.5156
1969-10-07,355.5536
1969-10-08,357.0796
1969-10-09,357.5156
1969-10-10,357.0796
1969-10-13,356.2076
1969-10-14,357.0796
1969-10-15,355.1176
1969-10-16,356.2076
1969-10-17,355.7716
1969-10-20,354.0276
1969-10-21,353.5917
1969-10-22,351.4117
1969-10-23,350.9757
1969-10-24,351.4117
1969-10-27,352.2837
1969-10-28,351.4117
1969-10-29,350.5397
1969-10-30,350.1037
1969-10-31,348.7957
1969-11-03,345.2008
1969-11-04,343.0324
1969-11-05,343.8998
1969-11-06,340.4304
1969-11-07,336.0937
1969-11-10,332.6244
1969-11-11,334.3591
1969-11-12,329.5887
1969-11-13,330.0224
1969-11-14,330.456
1969-11-17,330.0224
1969-11-18,327.4203
1969-11-19,319.6143
1969-11-20,317.0123
1969-11-21,315.2776
1969-11-24,309.6399
1969-11-25,307.4716
1969-11-26,310.9409
1969-11-27,308.3389
1969-11-28,308.7726
1969-12-01,308.4286
1969-12-02,306.7031
1969-12-03,307.1345
1969-12-04,305.8404
1969-12-05,305.409
1969-12-08,304.1149
1969-12-09,303.6836
1969-12-10,304.1149
1969-12-11,305.409
1969-12-12,306.2718
1969-12-15,304.9777
1969-12-16,304.1149
1969-12-17,304.5463
1969-12-18,303.6836
1969-12-19,301.9581
1969-12-22,304.9777
1969-12-23,304.5463
1969-12-24,305.409
1969-12-29,303.6836
1969-12-30,305.8404
1969-12-31,303.6836
1970-01-02,301.8046
1970-01-05,304.6011
1970-01-06,303.3104
1970-01-07,302.8802
1970-01-08,302.4499
1970-01-09,302.0197
1970-01-12,302.4499
1970-01-13,300.2128
1970-01-14,302.0197
1970-01-15,301.1593
1970-01-16,300.729
1970-01-19,299.0081
1970-01-20,301.5895
1970-01-21,299.8686
1970-01-22,302.8802
1970-01-23,301.0732
1970-01-26,302.4499
1970-01-27,303.3104
1970-01-28,302.8802
1970-01-29,301.2453
1970-01-30,301.0732
1970-02-02,299.4458
1970-02-03,299.5742
1970-02-04,299.5742
1970-02-05,299.5742
1970-02-06,299.5742
1970-02-09,299.6598
1970-02-10,301.714
1970-02-11,301.2861
1970-02-12,299.5742
1970-02-13,299.4886
1970-02-16,299.4886
1970-02-17,299.403
1970-02-18,300.8581
1970-02-19,301.2861
1970-02-20,299.4886
1970-02-23,299.403
1970-02-24,299.4458
1970-02-25,299.5742
1970-02-26,299.5742
1970-02-27,299.7454
1970-03-02,298.0058
1970-03-03,298.0909
1970-03-04,299.2829
1970-03-05,299.7086
1970-03-06,299.2829
1970-03-09,297.58
1970-03-10,297.6652
1970-03-11,299.7086
1970-03-12,297.9206
1970-03-13,300.1344
1970-03-16,298.4315
1970-03-17,298.6018
1970-03-18,300.9858
1970-03-19,301.4115
1970-03-20,300.9858
1970-03-23,299.2829
1970-03-24,301.4115
1970-03-25,302.263
1970-03-26,301.8373
1970-03-31,302.263
1970-04-01,300.3301
1970-04-02,298.8517
1970-04-03,298.556
1970-04-06,299.4853
1970-04-07,299.9077
1970-04-08,300.7525
1970-04-09,298.8939
1970-04-10,298.8517
1970-04-13,301.1749
1970-04-14,303.2869
1970-04-15,302.8645
1970-04-16,304.1317
1970-04-17,302.0197
1970-04-20,304.5541
1970-04-21,305.399
1970-04-22,305.8214
1970-04-23,304.9766
1970-04-24,304.5541
1970-04-27,303.7093
1970-04-28,304.9766
1970-04-29,302.8645
1970-04-30,302.8645
1970-05-01,302.2906
1970-05-04,304.6078
1970-05-05,307.1356
1970-05-06,305.2397
1970-05-07,305.2397
1970-05-08,306.7143
1970-05-11,306.293
1970-05-12,305.4504
1970-05-13,304.6078
1970-05-14,302.9225
1970-05-15,305.0291
1970-05-18,303.0068
1970-05-19,303.0489
1970-05-20,302.9225
1970-05-21,304.6078
1970-05-22,304.1865
1970-05-26,303.7651
1970-05-27,303.3438
1970-05-28,302.0799
1970-05-29,298.7094
1970-06-01,298.4271
1970-06-02,297.1697
1970-06-03,296.3314
1970-06-04,296.7505
1970-06-05,297.1697
1970-06-08,299.6845
1970-06-09,297.6726
1970-06-10,300.1036
1970-06-11,300.9419
1970-06-12,300.5228
1970-06-15,299.6845
1970-06-16,298.4271
1970-06-17,298.8462
1970-06-18,296.7505
1970-06-19,298.4271
1970-06-22,298.8462
1970-06-23,296.7505
1970-06-24,300.1036
1970-06-25,299.2654
1970-06-26,298.8462
1970-06-29,299.6845
1970-06-30,297.505
1970-07-01,295.9793
1970-07-02,297.7307
1970-07-03,294.8117
1970-07-06,296.8967
1970-07-07,296.4797
1970-07-08,294.3948
1970-07-09,296.0627
1970-07-10,296.4797
1970-07-13,294.4782
1970-07-14,294.4782
1970-07-15,296.0627
1970-07-16,294.3948
1970-07-17,296.4797
1970-07-20,294.4782
1970-07-21,296.0627
1970-07-22,294.4782
1970-07-23,294.3948
1970-07-24,296.4797
1970-07-27,294.3948
1970-07-28,294.3948
1970-07-29,296.0627
1970-07-30,296.4797
1970-07-31,294.3948
1970-08-03,294.6033
1970-08-04,294.4782
1970-08-05,294.5616
1970-08-06,294.6033
1970-08-07,294.3948
1970-08-10,296.0627
1970-08-11,293.7693
1970-08-12,293.9778
1970-08-13,294.0612
1970-08-14,293.9778
1970-08-17,293.9361
1970-08-18,293.9778
1970-08-19,293.9778
1970-08-20,294.6033
1970-08-21,297.3137
1970-08-24,297.7307
1970-08-25,298.9816
1970-08-26,299.8156
1970-08-27,300.2326
1970-08-28,300.6496
1970-08-31,301.0666
1970-09-01,299.9454
1970-09-02,301.6049
1970-09-03,303.2643
1970-09-04,302.8494
1970-09-07,299.738
1970-09-08,301.6049
1970-09-09,302.8494
1970-09-10,302.4346
1970-09-11,303.6792
1970-09-14,303.2643
1970-09-15,302.4346
1970-09-16,301.19
1970-09-17,302.4346
1970-09-18,302.0197
1970-09-21,302.8494
1970-09-22,303.2643
1970-09-23,302.4346
1970-09-24,302.8494
1970-09-25,302.0197
1970-09-28,302.4346
1970-09-29,300.3603
1970-09-30,304.094
1970-10-01,302.1376
1970-10-02,299.8675
1970-10-05,305.4397
1970-10-06,306.2652
1970-10-07,305.0269
1970-10-08,305.4397
1970-10-09,307.0907
1970-10-12,309.1545
1970-10-13,310.8055
1970-10-14,309.5673
1970-10-15,312.0438
1970-10-16,311.631
1970-10-19,312.4566
1970-10-20,314.9331
1970-10-21,315.3458
1970-10-22,315.7586
1970-10-23,319.4734
1970-10-26,323.601
1970-10-27,324.4265
1970-10-28,321.5372
1970-10-29,317.4096
1970-10-30,309.98
1970-11-02,311.2892
1970-11-03,307.3878
1970-11-04,307.5931
1970-11-05,304.3077
1970-11-06,307.1824
1970-11-09,309.2358
1970-11-10,306.5664
1970-11-11,308.0038
1970-11-12,309.2358
1970-11-13,311.6998
1970-11-16,309.4411
