"Date";"Value"
"07/21/2000";0,9369
"07/24/2000";0,9332
"07/25/2000";0,9382
"07/26/2000";0,9429
"07/27/2000";0,9314
"07/28/2000";0,9231
"07/31/2000";0,926
"08/01/2000";0,9141
"08/02/2000";0,9135
"08/03/2000";0,9065
"08/04/2000";0,9079
"08/07/2000";0,9069
"08/08/2000";0,902
"08/09/2000";0,9006
"08/10/2000";0,9083
"08/11/2000";0,9034
"08/14/2000";0,9056
"08/15/2000";0,913
"08/16/2000";0,9158
"08/17/2000";0,9162
"08/18/2000";0,9063
"08/21/2000";0,9016
"08/22/2000";0,8963
"08/23/2000";0,9016
"08/24/2000";0,9024
"08/25/2000";0,902
"08/28/2000";0,8997
"08/29/2000";0,8921
"08/30/2000";0,8938
"08/31/2000";0,8877
"09/01/2000";0,8996
"09/05/2000";0,8895
"09/06/2000";0,8701
"09/07/2000";0,8712
"09/08/2000";0,8666
"09/11/2000";0,8574
"09/12/2000";0,8637
"09/13/2000";0,8592
"09/14/2000";0,8643
"09/15/2000";0,8538
"09/18/2000";0,8534
"09/19/2000";0,8505
"09/20/2000";0,8488
"09/21/2000";0,8595
"09/22/2000";0,8764
"09/25/2000";0,8743
"09/26/2000";0,883
"09/27/2000";0,8831
"09/28/2000";0,8785
"09/29/2000";0,8831
"10/02/2000";0,8765
"10/03/2000";0,8755
"10/04/2000";0,8748
"10/05/2000";0,869
"10/06/2000";0,8683
"10/09/2000";0,8683
"10/10/2000";0,8717
"10/11/2000";0,8682
"10/12/2000";0,863
"10/13/2000";0,855
"10/16/2000";0,8495
"10/17/2000";0,854
"10/18/2000";0,8389
"10/19/2000";0,8432
"10/20/2000";0,8414
"10/23/2000";0,8357
"10/24/2000";0,8355
"10/25/2000";0,8271
"10/26/2000";0,8295
"10/27/2000";0,8389
"10/30/2000";0,8405
"10/31/2000";0,8485
"11/01/2000";0,8613
"11/02/2000";0,858
"11/03/2000";0,8668
"11/06/2000";0,8619
"11/07/2000";0,8603
"11/08/2000";0,8552
"11/09/2000";0,8672
"11/10/2000";0,8596
"11/13/2000";0,8568
"11/14/2000";0,8582
"11/15/2000";0,8576
"11/16/2000";0,8533
"11/17/2000";0,8481
"11/20/2000";0,8508
"11/21/2000";0,8432
"11/22/2000";0,8448
"11/24/2000";0,8383
"11/27/2000";0,8523
"11/28/2000";0,8561
"11/29/2000";0,8569
"11/30/2000";0,8726
"12/01/2000";0,8793
"12/04/2000";0,887
"12/05/2000";0,8797
"12/06/2000";0,8921
"12/07/2000";0,8899
"12/08/2000";0,8879
"12/11/2000";0,8775
"12/12/2000";0,8794
"12/13/2000";0,8767
"12/14/2000";0,8921
"12/15/2000";0,8943
"12/18/2000";0,8948
"12/19/2000";0,8952
"12/20/2000";0,9094
"12/21/2000";0,9166
"12/22/2000";0,9231
"12/26/2000";0,9307
"12/27/2000";0,9304
"12/28/2000";0,9295
"12/29/2000";0,9422
"01/02/2001";0,951
"01/03/2001";0,927
"01/04/2001";0,9494
"01/05/2001";0,9573
"01/08/2001";0,9469
"01/09/2001";0,9438
"01/10/2001";0,9363
"01/11/2001";0,9523
"01/12/2001";0,9515
"01/16/2001";0,942
"01/17/2001";0,9356
"01/18/2001";0,9429
"01/19/2001";0,9338
"01/22/2001";0,9384
"01/23/2001";0,9364
"01/24/2001";0,9215
"01/25/2001";0,9239
"01/26/2001";0,9238
"01/29/2001";0,9165
"01/30/2001";0,9263
"01/31/2001";0,9368
"02/01/2001";0,938
"02/02/2001";0,9358
"02/05/2001";0,9373
"02/06/2001";0,9311
"02/07/2001";0,9283
"02/08/2001";0,9178
"02/09/2001";0,9244
"02/12/2001";0,9316
"02/13/2001";0,9195
"02/14/2001";0,9176
"02/15/2001";0,9047
"02/16/2001";0,9141
"02/20/2001";0,9121
"02/21/2001";0,9087
"02/22/2001";0,9048
"02/23/2001";0,9173
"02/26/2001";0,9104
"02/27/2001";0,9186
"02/28/2001";0,9232
"03/01/2001";0,9298
"03/02/2001";0,9354
"03/05/2001";0,9284
"03/06/2001";0,934
"03/07/2001";0,9294
"03/08/2001";0,9324
